semana,fase,periodo,km_total,longao_km,cutback,sessoes
1,Base,2026-09-19 a 2026-09-25,11.5,4.8,False,"Longão: 4.8km em 6:12/km | Qualidade: Corrida progressiva fácil→moderado, foco em constância (6:24/km) | 1x corrida fácil de ~6.7km em 6:24/km | 1-2 dias de descanso ou cross-training leve"
2,Base,2026-09-26 a 2026-10-02,12.4,5.2,False,"Longão: 5.2km em 6:12/km | Qualidade: Corrida progressiva fácil→moderado, foco em constância (6:24/km) | 1x corrida fácil de ~7.2km em 6:24/km | 1-2 dias de descanso ou cross-training leve"
3,Base,2026-10-03 a 2026-10-09,13.4,5.6,False,"Longão: 5.6km em 6:12/km | Qualidade: Corrida progressiva fácil→moderado, foco em constância (6:24/km) | 1x corrida fácil de ~7.8km em 6:24/km | 1-2 dias de descanso ou cross-training leve"
4,Base,2026-10-10 a 2026-10-16,14.6,6.1,False,"Longão: 6.1km em 6:12/km | Qualidade: Corrida progressiva fácil→moderado, foco em constância (6:24/km) | 1x corrida fácil de ~8.5km em 6:24/km | 1-2 dias de descanso ou cross-training leve"
5,Base,2026-10-17 a 2026-10-23,15.8,6.6,False,"Longão: 6.6km em 6:12/km | Qualidade: Corrida progressiva fácil→moderado, foco em constância (6:24/km) | 1x corrida fácil de ~9.2km em 6:24/km | 1-2 dias de descanso ou cross-training leve"
6,Build,2026-10-24 a 2026-10-30,17.1,7.2,False,Longão: 7.2km em 6:12/km | Qualidade: Tempo run: 20-30min contínuo em ritmo de limiar (5:37/km) | 1x corrida fácil de ~9.9km em 6:24/km | 1-2 dias de descanso ou cross-training leve
7,Build,2026-10-31 a 2026-11-06,18.5,7.8,False,Longão: 7.8km em 6:12/km | Qualidade: Tempo run: 20-30min contínuo em ritmo de limiar (5:37/km) | 1x corrida fácil de ~10.7km em 6:24/km | 1-2 dias de descanso ou cross-training leve
8,Build,2026-11-07 a 2026-11-13,13.9,5.8,True,Longão: 5.8km em 6:12/km | Qualidade: Tempo run: 20-30min contínuo em ritmo de limiar (5:37/km) | 1x corrida fácil de ~8.1km em 6:24/km | 1-2 dias de descanso ou cross-training leve
9,Build,2026-11-14 a 2026-11-20,20.4,8.6,False,Longão: 8.6km em 6:12/km | Qualidade: Tempo run: 20-30min contínuo em ritmo de limiar (5:37/km) | 1x corrida fácil de ~11.8km em 6:24/km | 1-2 dias de descanso ou cross-training leve
10,Peak,2026-11-21 a 2026-11-27,22.4,9.4,False,Longão: 9.4km em 6:12/km | Qualidade: Intervalado: 6-8x800m em 4:59/km c/ 2min trote entre séries | 1x corrida fácil de ~13.0km em 6:24/km | 1-2 dias de descanso ou cross-training leve
11,Peak,2026-11-28 a 2026-12-04,24.7,10.4,False,Longão: 10.4km em 6:12/km | Qualidade: Intervalado: 6-8x800m em 4:59/km c/ 2min trote entre séries | 1x corrida fácil de ~14.3km em 6:24/km | 1-2 dias de descanso ou cross-training leve
12,Taper,2026-12-05 a 2026-12-11,8.6,2.5,False,Seg: descanso | Ter: 20-30min fácil (6:24/km) | Qua: descanso | Qui: 15-20min fácil c/ 4x100m rápido | Sex: descanso | Sáb: descanso ou trote leve 15min | Dom: 🏁 PROVA
